product_id,month,units_sold
FUR-BO-10000022,2013-09-01,5
FUR-BO-10000034,2012-08-01,2
FUR-BO-10000034,2013-09-01,1
FUR-BO-10000034,2014-04-01,2
FUR-BO-10000035,2011-09-01,6
FUR-BO-10000035,2011-12-01,7
FUR-BO-10000035,2012-02-01,3
FUR-BO-10000035,2013-07-01,3
FUR-BO-10000035,2014-04-01,2
FUR-BO-10000038,2011-09-01,5
FUR-BO-10000038,2013-01-01,1
FUR-BO-10000038,2013-09-01,7
FUR-BO-10000038,2014-11-01,5
FUR-BO-10000071,2011-11-01,5
FUR-BO-10000071,2012-11-01,2
FUR-BO-10000071,2012-12-01,1
FUR-BO-10000071,2013-09-01,1
FUR-BO-10000071,2013-11-01,3
FUR-BO-10000071,2013-12-01,5
FUR-BO-10000071,2014-01-01,2
FUR-BO-10000071,2014-05-01,3
FUR-BO-10000087,2012-06-01,2
FUR-BO-10000087,2012-11-01,2
FUR-BO-10000087,2013-06-01,3
FUR-BO-10000087,2013-07-01,4
FUR-BO-10000087,2013-12-01,5
FUR-BO-10000087,2014-05-01,8
FUR-BO-10000087,2014-06-01,2
FUR-BO-10000087,2014-11-01,5
FUR-BO-10000087,2014-12-01,3
FUR-BO-10000112,2012-01-01,3
FUR-BO-10000112,2012-05-01,5
FUR-BO-10000112,2013-05-01,2
FUR-BO-10000112,2014-07-01,2
FUR-BO-10000112,2014-09-01,12
FUR-BO-10000120,2014-05-01,9
FUR-BO-10000120,2014-10-01,1
FUR-BO-10000148,2012-12-01,3
FUR-BO-10000148,2013-12-01,3
FUR-BO-10000148,2014-09-01,2
FUR-BO-10000148,2014-11-01,3
FUR-BO-10000155,2012-09-01,7
FUR-BO-10000155,2013-01-01,5
FUR-BO-10000155,2013-08-01,5
FUR-BO-10000155,2014-12-01,3
FUR-BO-10000160,2011-06-01,2
FUR-BO-10000170,2011-11-01,9
FUR-BO-10000170,2012-06-01,5
FUR-BO-10000175,2011-06-01,4
FUR-BO-10000175,2011-07-01,2
FUR-BO-10000175,2011-11-01,2
FUR-BO-10000175,2012-10-01,5
FUR-BO-10000175,2013-11-01,4
FUR-BO-10000184,2013-06-01,3
FUR-BO-10000195,2013-06-01,2
FUR-BO-10000195,2013-08-01,4
FUR-BO-10000195,2014-12-01,6
FUR-BO-10000203,2012-05-01,9
FUR-BO-10000203,2013-03-01,2
FUR-BO-10000203,2013-06-01,4
FUR-BO-10000203,2013-09-01,2
FUR-BO-10000203,2014-10-01,2
FUR-BO-10000208,2011-07-01,14
FUR-BO-10000208,2011-12-01,3
FUR-BO-10000208,2012-08-01,3
FUR-BO-10000208,2014-08-01,8
FUR-BO-10000208,2014-10-01,5
FUR-BO-10000210,2011-11-01,4
FUR-BO-10000210,2012-01-01,2
FUR-BO-10000210,2012-11-01,2
FUR-BO-10000210,2012-12-01,2
FUR-BO-10000210,2014-02-01,7
FUR-BO-10000210,2014-06-01,6
FUR-BO-10000210,2014-09-01,3
FUR-BO-10000214,2012-08-01,3
FUR-BO-10000243,2012-11-01,5
FUR-BO-10000243,2013-07-01,7
FUR-BO-10000243,2013-09-01,7
FUR-BO-10000243,2014-10-01,9
FUR-BO-10000259,2011-03-01,3
FUR-BO-10000259,2011-12-01,6
FUR-BO-10000259,2012-08-01,2
FUR-BO-10000259,2012-09-01,5
FUR-BO-10000259,2013-02-01,2
FUR-BO-10000259,2014-06-01,3
FUR-BO-10000265,2011-01-01,1
FUR-BO-10000265,2011-09-01,3
FUR-BO-10000265,2011-11-01,6
FUR-BO-10000265,2013-03-01,2
FUR-BO-10000265,2014-04-01,2
FUR-BO-10000268,2012-04-01,3
FUR-BO-10000268,2013-03-01,1
FUR-BO-10000268,2014-06-01,5
FUR-BO-10000268,2014-07-01,2
FUR-BO-10000269,2011-11-01,3
FUR-BO-10000269,2013-06-01,2
FUR-BO-10000269,2013-09-01,3
FUR-BO-10000269,2013-10-01,3
FUR-BO-10000269,2014-11-01,2
FUR-BO-10000279,2011-05-01,3
FUR-BO-10000279,2011-08-01,8
FUR-BO-10000279,2012-09-01,1
FUR-BO-10000279,2013-03-01,3
FUR-BO-10000279,2014-09-01,5
FUR-BO-10000288,2012-03-01,3
FUR-BO-10000288,2013-04-01,3
FUR-BO-10000288,2013-05-01,2
FUR-BO-10000288,2013-08-01,7
FUR-BO-10000288,2014-07-01,5
FUR-BO-10000311,2014-08-01,4
FUR-BO-10000311,2014-10-01,3
FUR-BO-10000321,2013-12-01,6
FUR-BO-10000321,2014-08-01,4
FUR-BO-10000330,2011-11-01,4
FUR-BO-10000330,2012-09-01,4
FUR-BO-10000330,2014-05-01,2
FUR-BO-10000362,2011-05-01,2
FUR-BO-10000362,2011-11-01,6
FUR-BO-10000362,2011-12-01,2
FUR-BO-10000362,2012-03-01,3
FUR-BO-10000362,2013-06-01,1
FUR-BO-10000378,2012-10-01,4
FUR-BO-10000378,2013-03-01,7
FUR-BO-10000378,2013-07-01,2
FUR-BO-10000378,2014-10-01,2
FUR-BO-10000402,2012-06-01,3
FUR-BO-10000402,2012-09-01,3
FUR-BO-10000411,2012-06-01,2
FUR-BO-10000411,2012-12-01,9
FUR-BO-10000411,2013-10-01,5
FUR-BO-10000411,2014-05-01,8
FUR-BO-10000425,2012-07-01,2
FUR-BO-10000425,2013-07-01,6
FUR-BO-10000468,2011-08-01,4
FUR-BO-10000468,2012-09-01,4
FUR-BO-10000468,2013-01-01,1
FUR-BO-10000468,2014-06-01,2
FUR-BO-10000468,2014-08-01,3
FUR-BO-10000468,2014-12-01,7
FUR-BO-10000490,2012-06-01,7
FUR-BO-10000490,2012-08-01,4
FUR-BO-10000490,2014-04-01,7
FUR-BO-10000490,2014-09-01,5
FUR-BO-10000502,2011-07-01,3
FUR-BO-10000502,2012-05-01,5
FUR-BO-10000502,2012-06-01,1
FUR-BO-10000502,2012-10-01,4
FUR-BO-10000502,2013-04-01,2
FUR-BO-10000502,2013-12-01,5
FUR-BO-10000514,2012-11-01,2
FUR-BO-10000514,2014-07-01,2
FUR-BO-10000514,2014-11-01,7
FUR-BO-10000517,2011-07-01,8
FUR-BO-10000533,2014-12-01,4
FUR-BO-10000567,2011-05-01,4
FUR-BO-10000567,2011-09-01,8
FUR-BO-10000567,2012-01-01,9
FUR-BO-10000567,2012-11-01,9
FUR-BO-10000567,2013-05-01,3
FUR-BO-10000567,2013-10-01,4
FUR-BO-10000567,2014-07-01,2
FUR-BO-10000567,2014-09-01,4
FUR-BO-10000596,2012-09-01,6
FUR-BO-10000596,2012-12-01,4
FUR-BO-10000596,2013-01-01,3
FUR-BO-10000596,2013-02-01,5
FUR-BO-10000596,2014-04-01,4
FUR-BO-10000596,2014-10-01,2
FUR-BO-10000610,2011-03-01,5
FUR-BO-10000610,2011-11-01,2
FUR-BO-10000610,2013-11-01,2
FUR-BO-10000610,2014-04-01,4
FUR-BO-10000616,2012-06-01,6
FUR-BO-10000623,2014-11-01,2
FUR-BO-10000624,2011-11-01,3
FUR-BO-10000624,2013-05-01,2
FUR-BO-10000624,2014-02-01,8
FUR-BO-10000624,2014-03-01,3
FUR-BO-10000624,2014-05-01,3
FUR-BO-10000624,2014-07-01,7
FUR-BO-10000636,2012-04-01,1
FUR-BO-10000636,2013-11-01,5
FUR-BO-10000636,2013-12-01,4
FUR-BO-10000636,2014-06-01,6
FUR-BO-10000636,2014-10-01,2
FUR-BO-10000655,2014-12-01,3
FUR-BO-10000666,2012-01-01,7
FUR-BO-10000666,2014-02-01,2
FUR-BO-10000668,2013-10-01,1
FUR-BO-10000668,2014-05-01,2
FUR-BO-10000668,2014-06-01,2
FUR-BO-10000668,2014-07-01,5
FUR-BO-10000670,2013-07-01,8
FUR-BO-10000670,2013-09-01,11
FUR-BO-10000670,2013-10-01,8
FUR-BO-10000670,2014-12-01,3
FUR-BO-10000676,2012-05-01,2
FUR-BO-10000676,2013-08-01,9
FUR-BO-10000676,2014-12-01,5
FUR-BO-10000684,2011-07-01,1
FUR-BO-10000684,2011-12-01,3
FUR-BO-10000684,2012-09-01,1
FUR-BO-10000684,2013-08-01,3
FUR-BO-10000684,2014-04-01,8
FUR-BO-10000699,2012-08-01,8
FUR-BO-10000699,2013-11-01,10
FUR-BO-10000699,2014-03-01,1
FUR-BO-10000699,2014-05-01,2
FUR-BO-10000699,2014-08-01,3
FUR-BO-10000700,2014-02-01,2
FUR-BO-10000711,2011-06-01,3
FUR-BO-10000711,2011-08-01,9
FUR-BO-10000712,2012-11-01,2
FUR-BO-10000728,2011-01-01,7
FUR-BO-10000728,2011-08-01,4
FUR-BO-10000728,2011-09-01,7
FUR-BO-10000728,2011-10-01,5
FUR-BO-10000728,2011-11-01,5
FUR-BO-10000728,2012-04-01,6
FUR-BO-10000728,2012-06-01,5
FUR-BO-10000728,2013-08-01,8
FUR-BO-10000728,2013-09-01,3
FUR-BO-10000728,2014-02-01,4
FUR-BO-10000728,2014-10-01,1
FUR-BO-10000728,2014-11-01,1
FUR-BO-10000734,2011-06-01,1
FUR-BO-10000734,2012-10-01,3
FUR-BO-10000734,2012-11-01,2
FUR-BO-10000734,2013-05-01,4
FUR-BO-10000734,2013-07-01,3
FUR-BO-10000734,2013-09-01,4
FUR-BO-10000734,2013-10-01,3
FUR-BO-10000746,2012-11-01,9
FUR-BO-10000746,2013-06-01,2
FUR-BO-10000746,2014-04-01,3
FUR-BO-10000746,2014-10-01,3
FUR-BO-10000780,2012-08-01,3
FUR-BO-10000780,2013-09-01,7
FUR-BO-10000780,2013-11-01,7
FUR-BO-10000780,2014-06-01,3
FUR-BO-10000780,2014-11-01,2
FUR-BO-10000786,2013-08-01,7
FUR-BO-10000786,2013-09-01,7
FUR-BO-10000786,2014-08-01,9
FUR-BO-10000791,2013-11-01,5
FUR-BO-10000797,2013-09-01,2
FUR-BO-10000797,2014-02-01,2
FUR-BO-10000797,2014-08-01,3
FUR-BO-10000807,2014-09-01,4
FUR-BO-10000820,2014-06-01,4
FUR-BO-10000847,2011-06-01,6
FUR-BO-10000847,2013-11-01,3
FUR-BO-10000847,2014-08-01,6
FUR-BO-10000847,2014-12-01,4
FUR-BO-10000883,2012-10-01,1
FUR-BO-10000883,2013-08-01,7
FUR-BO-10000889,2013-10-01,2
FUR-BO-10000891,2011-06-01,6
FUR-BO-10000891,2012-01-01,6
FUR-BO-10000891,2013-04-01,3
FUR-BO-10000891,2014-10-01,3
FUR-BO-10000892,2014-01-01,6
FUR-BO-10000895,2011-06-01,2
FUR-BO-10000895,2011-08-01,3
FUR-BO-10000895,2012-11-01,3
FUR-BO-10000895,2013-11-01,2
FUR-BO-10000895,2014-01-01,6
FUR-BO-10000936,2011-08-01,3
FUR-BO-10000936,2012-10-01,2
FUR-BO-10000936,2012-11-01,5
FUR-BO-10000936,2013-02-01,1
FUR-BO-10000961,2012-08-01,7
FUR-BO-10000961,2013-05-01,2
FUR-BO-10000961,2013-12-01,4
FUR-BO-10000961,2014-03-01,3
FUR-BO-10000961,2014-11-01,5
FUR-BO-10000967,2011-02-01,2
FUR-BO-10000967,2012-06-01,6
FUR-BO-10000967,2012-09-01,2
FUR-BO-10000967,2014-05-01,5
FUR-BO-10000967,2014-12-01,7
FUR-BO-10000980,2012-09-01,2
FUR-BO-10000980,2012-11-01,5
FUR-BO-10000980,2013-02-01,1
FUR-BO-10000980,2013-08-01,2
FUR-BO-10000980,2013-12-01,3
FUR-BO-10000980,2014-09-01,1
FUR-BO-10000980,2014-10-01,1
FUR-BO-10001003,2013-11-01,7
FUR-BO-10001003,2014-11-01,4
FUR-BO-10001010,2012-12-01,5
FUR-BO-10001010,2014-06-01,5
FUR-BO-10001010,2014-11-01,10
FUR-BO-10001039,2011-02-01,2
FUR-BO-10001039,2011-12-01,2
FUR-BO-10001039,2012-10-01,2
FUR-BO-10001039,2012-12-01,6
FUR-BO-10001039,2014-04-01,3
FUR-BO-10001039,2014-12-01,4
FUR-BO-10001042,2011-10-01,3
FUR-BO-10001042,2012-07-01,4
FUR-BO-10001042,2014-07-01,8
FUR-BO-10001042,2014-11-01,6
FUR-BO-10001042,2014-12-01,4
FUR-BO-10001067,2012-05-01,3
FUR-BO-10001067,2013-01-01,5
FUR-BO-10001067,2013-03-01,4
FUR-BO-10001067,2013-12-01,3
FUR-BO-10001067,2014-03-01,1
FUR-BO-10001073,2012-03-01,7
FUR-BO-10001073,2013-08-01,2
FUR-BO-10001073,2014-03-01,7
FUR-BO-10001073,2014-07-01,2
FUR-BO-10001099,2011-06-01,4
FUR-BO-10001099,2012-04-01,2
FUR-BO-10001099,2012-08-01,4
FUR-BO-10001099,2012-10-01,5
FUR-BO-10001133,2011-06-01,2
FUR-BO-10001133,2011-11-01,2
FUR-BO-10001133,2013-04-01,3
FUR-BO-10001133,2013-11-01,7
FUR-BO-10001133,2014-03-01,2
FUR-BO-10001147,2013-08-01,3
FUR-BO-10001147,2013-12-01,2
FUR-BO-10001147,2014-04-01,1
FUR-BO-10001147,2014-05-01,5
FUR-BO-10001147,2014-06-01,7
FUR-BO-10001147,2014-08-01,1
FUR-BO-10001155,2011-05-01,3
FUR-BO-10001155,2011-09-01,3
FUR-BO-10001155,2011-11-01,2
FUR-BO-10001155,2013-01-01,3
FUR-BO-10001155,2013-06-01,3
FUR-BO-10001155,2014-05-01,2
FUR-BO-10001155,2014-09-01,3
FUR-BO-10001155,2014-11-01,3
FUR-BO-10001155,2014-12-01,2
FUR-BO-10001165,2011-12-01,3
FUR-BO-10001165,2012-11-01,7
FUR-BO-10001165,2014-07-01,3
FUR-BO-10001165,2014-11-01,1
FUR-BO-10001192,2011-09-01,3
FUR-BO-10001192,2013-09-01,6
FUR-BO-10001192,2013-10-01,2
FUR-BO-10001192,2013-11-01,1
FUR-BO-10001192,2014-08-01,4
FUR-BO-10001192,2014-10-01,2
FUR-BO-10001196,2011-07-01,7
FUR-BO-10001196,2012-09-01,3
FUR-BO-10001196,2013-12-01,2
FUR-BO-10001196,2014-10-01,5
FUR-BO-10001201,2011-06-01,3
FUR-BO-10001201,2011-11-01,3
FUR-BO-10001201,2011-12-01,4
FUR-BO-10001201,2012-06-01,7
FUR-BO-10001201,2013-05-01,6
FUR-BO-10001201,2014-06-01,2
FUR-BO-10001212,2012-04-01,3
FUR-BO-10001212,2013-06-01,5
FUR-BO-10001212,2013-10-01,2
FUR-BO-10001212,2014-07-01,8
FUR-BO-10001212,2014-09-01,6
FUR-BO-10001216,2011-06-01,11
FUR-BO-10001216,2012-03-01,2
FUR-BO-10001216,2013-02-01,4
FUR-BO-10001216,2014-01-01,7
FUR-BO-10001233,2014-05-01,1
FUR-BO-10001233,2014-08-01,8
FUR-BO-10001254,2013-05-01,2
FUR-BO-10001255,2013-10-01,8
FUR-BO-10001255,2014-03-01,2
FUR-BO-10001255,2014-05-01,3
FUR-BO-10001255,2014-11-01,3
FUR-BO-10001256,2012-08-01,3
FUR-BO-10001256,2014-02-01,4
FUR-BO-10001271,2013-07-01,3
FUR-BO-10001276,2013-01-01,3
FUR-BO-10001276,2014-10-01,3
FUR-BO-10001287,2011-05-01,4
FUR-BO-10001287,2011-06-01,3
FUR-BO-10001287,2011-08-01,1
FUR-BO-10001287,2013-02-01,2
FUR-BO-10001287,2013-06-01,4
FUR-BO-10001295,2011-01-01,3
FUR-BO-10001295,2013-11-01,4
FUR-BO-10001295,2014-07-01,4
FUR-BO-10001309,2011-10-01,1
FUR-BO-10001309,2013-10-01,2
FUR-BO-10001318,2012-11-01,4
FUR-BO-10001324,2011-12-01,4
FUR-BO-10001324,2013-01-01,8
FUR-BO-10001324,2014-11-01,4
FUR-BO-10001326,2012-06-01,6
FUR-BO-10001326,2012-12-01,3
FUR-BO-10001326,2013-06-01,1
FUR-BO-10001337,2011-03-01,2
FUR-BO-10001337,2011-04-01,3
FUR-BO-10001337,2011-09-01,3
FUR-BO-10001337,2011-10-01,6
FUR-BO-10001337,2012-11-01,3
FUR-BO-10001337,2013-08-01,2
FUR-BO-10001337,2013-10-01,1
FUR-BO-10001337,2013-12-01,2
FUR-BO-10001337,2014-04-01,1
FUR-BO-10001337,2014-06-01,5
FUR-BO-10001342,2011-03-01,4
FUR-BO-10001342,2012-11-01,1
FUR-BO-10001342,2013-07-01,1
FUR-BO-10001342,2013-09-01,6
FUR-BO-10001342,2014-10-01,3
FUR-BO-10001342,2014-11-01,2
FUR-BO-10001356,2011-12-01,6
FUR-BO-10001356,2012-05-01,3
FUR-BO-10001356,2013-03-01,3
FUR-BO-10001356,2013-06-01,2
FUR-BO-10001356,2013-07-01,3
FUR-BO-10001356,2013-08-01,5
FUR-BO-10001356,2014-07-01,3
FUR-BO-10001356,2014-11-01,3
FUR-BO-10001358,2011-05-01,3
FUR-BO-10001358,2013-11-01,3
FUR-BO-10001358,2014-06-01,4
FUR-BO-10001362,2011-10-01,2
FUR-BO-10001362,2014-12-01,2
FUR-BO-10001369,2012-06-01,2
FUR-BO-10001369,2012-09-01,2
FUR-BO-10001369,2013-09-01,2
FUR-BO-10001369,2014-05-01,1
FUR-BO-10001370,2011-10-01,1
FUR-BO-10001370,2012-12-01,2
FUR-BO-10001372,2011-06-01,6
FUR-BO-10001372,2011-12-01,5
FUR-BO-10001372,2012-02-01,7
FUR-BO-10001372,2014-02-01,3
FUR-BO-10001385,2012-11-01,3
FUR-BO-10001385,2013-09-01,12
FUR-BO-10001385,2014-05-01,3
FUR-BO-10001387,2011-05-01,2
FUR-BO-10001387,2011-09-01,5
FUR-BO-10001387,2011-10-01,3
FUR-BO-10001387,2012-03-01,7
FUR-BO-10001390,2011-06-01,3
FUR-BO-10001390,2012-05-01,5
FUR-BO-10001390,2012-06-01,2
FUR-BO-10001390,2013-01-01,2
FUR-BO-10001392,2011-09-01,2
FUR-BO-10001392,2013-03-01,2
FUR-BO-10001392,2014-09-01,6
FUR-BO-10001393,2012-03-01,3
FUR-BO-10001393,2012-04-01,3
FUR-BO-10001393,2012-12-01,4
FUR-BO-10001393,2013-05-01,7
FUR-BO-10001393,2013-12-01,5
FUR-BO-10001393,2014-08-01,3
FUR-BO-10001405,2011-12-01,13
FUR-BO-10001405,2012-12-01,7
FUR-BO-10001405,2013-09-01,4
FUR-BO-10001405,2013-12-01,2
FUR-BO-10001405,2014-08-01,1
FUR-BO-10001405,2014-11-01,11
FUR-BO-10001436,2014-04-01,12
FUR-BO-10001436,2014-11-01,2
FUR-BO-10001452,2014-06-01,2
FUR-BO-10001461,2012-06-01,1
FUR-BO-10001461,2013-06-01,6
FUR-BO-10001461,2013-08-01,4
FUR-BO-10001471,2011-10-01,4
FUR-BO-10001471,2013-08-01,1
FUR-BO-10001471,2014-06-01,14
FUR-BO-10001471,2014-10-01,7
FUR-BO-10001476,2012-05-01,1
FUR-BO-10001476,2012-06-01,1
FUR-BO-10001476,2012-12-01,1
FUR-BO-10001476,2014-05-01,4
FUR-BO-10001476,2014-09-01,2
FUR-BO-10001483,2011-09-01,3
FUR-BO-10001483,2012-10-01,5
FUR-BO-10001483,2013-01-01,8
FUR-BO-10001483,2014-03-01,2
FUR-BO-10001483,2014-06-01,7
FUR-BO-10001483,2014-07-01,3
FUR-BO-10001483,2014-08-01,9
FUR-BO-10001483,2014-11-01,2
FUR-BO-10001498,2011-01-01,6
FUR-BO-10001498,2012-05-01,6
FUR-BO-10001498,2012-11-01,3
FUR-BO-10001498,2013-04-01,14
FUR-BO-10001498,2013-06-01,1
FUR-BO-10001498,2013-08-01,3
FUR-BO-10001498,2013-10-01,2
FUR-BO-10001498,2013-11-01,2
FUR-BO-10001498,2014-09-01,3
FUR-BO-10001501,2011-12-01,3
FUR-BO-10001501,2012-09-01,2
FUR-BO-10001501,2013-01-01,9
FUR-BO-10001501,2013-05-01,2
FUR-BO-10001501,2013-10-01,5
FUR-BO-10001501,2013-11-01,2
FUR-BO-10001501,2014-08-01,3
FUR-BO-10001501,2014-10-01,1
FUR-BO-10001501,2014-11-01,5
FUR-BO-10001507,2014-11-01,2
FUR-BO-10001519,2012-04-01,9
FUR-BO-10001519,2012-11-01,4
FUR-BO-10001519,2014-06-01,3
FUR-BO-10001519,2014-07-01,3
FUR-BO-10001519,2014-12-01,3
FUR-BO-10001524,2013-01-01,5
FUR-BO-10001537,2011-02-01,3
FUR-BO-10001537,2014-04-01,2
FUR-BO-10001537,2014-10-01,4
FUR-BO-10001541,2011-09-01,1
FUR-BO-10001541,2012-10-01,4
FUR-BO-10001541,2014-04-01,7
FUR-BO-10001541,2014-05-01,4
FUR-BO-10001541,2014-10-01,9
FUR-BO-10001541,2014-12-01,3
FUR-BO-10001553,2012-05-01,10
FUR-BO-10001553,2013-09-01,7
FUR-BO-10001553,2014-12-01,3
FUR-BO-10001555,2011-06-01,2
FUR-BO-10001555,2013-01-01,6
FUR-BO-10001555,2014-10-01,2
FUR-BO-10001558,2012-02-01,6
FUR-BO-10001558,2012-06-01,2
FUR-BO-10001567,2013-10-01,3
FUR-BO-10001580,2012-08-01,9
FUR-BO-10001580,2013-04-01,4
FUR-BO-10001580,2014-05-01,1
FUR-BO-10001580,2014-07-01,6
FUR-BO-10001580,2014-10-01,6
FUR-BO-10001580,2014-12-01,5
FUR-BO-10001585,2011-06-01,2
FUR-BO-10001585,2011-09-01,5
FUR-BO-10001585,2012-05-01,4
FUR-BO-10001585,2012-06-01,2
FUR-BO-10001585,2014-01-01,2
FUR-BO-10001585,2014-05-01,2
FUR-BO-10001585,2014-08-01,3
FUR-BO-10001585,2014-12-01,5
FUR-BO-10001596,2012-06-01,3
FUR-BO-10001596,2012-08-01,5
FUR-BO-10001596,2014-03-01,3
FUR-BO-10001596,2014-11-01,10
FUR-BO-10001598,2011-10-01,3
FUR-BO-10001598,2012-09-01,2
FUR-BO-10001598,2014-04-01,1
FUR-BO-10001598,2014-05-01,3
FUR-BO-10001598,2014-09-01,7
FUR-BO-10001598,2014-12-01,8
FUR-BO-10001601,2011-11-01,2
FUR-BO-10001601,2014-02-01,1
FUR-BO-10001601,2014-05-01,7
FUR-BO-10001608,2011-06-01,4
